en,jn,cn
SPY×FAMILY,,间谍过家家
Frieren,葬送のフリーレン,葬送的芙莉莲
Heavenly Delusion,天国大魔境,天国大魔境
The Legend of Hei,羅小黒戦記「ぼくが選ぶ未来」,罗小黑战记剧场版
Chainsaw Man,チェンソーマン,电锯人
ID:INVADED,,"异度侵入ID:INVADED"
Saki Achiga-hen episode of Side-A,咲-Saki-阿知賀編 episode of side-A,天才麻将少女：阿知贺篇
Kill Me Baby,キルミーベイベー,爱杀宝贝
K-ON!,けいおん!,轻音少女
K-ON!!,けいおん!!,
Boogiepop wa Warawanai,ブギーポップは笑わない Boogiepop Phantom,不吉波普不笑
Kokkoku: Moment by Moment,刻刻,刻刻
Rokka: Braves of the Six Flowers,六花の勇者,六花的勇者
Devilman Crybaby,,恶魔人Crybaby
Your on.,君の名は。,你的名字。
Ping Pong The Animation,ピンポン,乒乓
Musou Kakyou: A Summer Day's Dream,夢想夏郷 A Summer Day's Dream,梦想夏乡
Welcome to the NHK,NHKにようこそ！,欢迎加入NHK
Purupuru Pururin Rin! Song,,魔法少女PURURIN
Purupuru Pururin Rin! Creditless Song,,
Eden of The East,東のエデン,东之伊甸
Eden of The East I. The King of Eden,,
Eden of The East II. Paradise Lost,,
Angle's Egg,天使のたまご,天使之卵
Ghost in the Shell_S.A.C.,攻殻機動隊 S.A.C.,攻壳机动队 S.A.C.
Ghost in the Shell_S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,攻壳机动队 S.A.C. 2nd GIG
Psycho-Pass 2,,心理测量者2
Psycho-Pass: Sinners of the System,,心理测量者：系统的罪人
Kaiba,カイバ,海马
White Album,ワイトアルバム,白色相薄
Kannagi,かんなぎ,神薙
Sayonara Zetsubou Sensei,さよなら絶望先生,绝望先生
Zoku Sayonara Zetsubou Sensei,俗・さよなら絶望先生,俗・绝望先生
Zan Sayonara Zetsubou Sensei,懺・さよなら絶望先生,忏・绝望先生
The Tatami Galaxy,四畳半神話大系,四叠半神话大系
Ayakashi: Bake Neko,怪 ～ayakashi～,怪化猫
From The New World,新世界より,自新世界
Toradora!,とらドラ!,龙与虎
To Love-Ru,,出包女王
Samurai Champloo,サムライチャンプルー,混沌武士
Xam'd: Lost Memories,亡念のザムド,亡念的扎姆德
KILL la KILL,キルラキル,斩服少女
Attack on Titan,進撃の巨人,进击的巨人
Clannad,,
Clannad After Story,,
Maoyuu Maou Yuusha,まおゆう魔王勇者,魔王勇者
And Yet The Town Moves,それでも町は廻っている,女仆咖啡厅
Soul Eater,ソウルイーター,噬魂师
Waiting in the Summer,あの夏で待ってる,在盛夏等待
Fate/Zero,,
UN-GO,,UN-GO因果论
Mawaru Penguindrum,輪るピングドラム,回转企鹅罐
Future Diary,未来日記,未来日记
Another,,
Kamisama Dolls,神様ドォルズ,神样DOLLS
Anohana,あの日見た花の名前を僕達はまだ知らない。,未闻花名
HIGHSCHOOL OF THE DEAD,学園黙示録,学园默示录
Coil A Circle of Children,電脳コイル,电脑线圈
Maria Holic,まりあ†ほりっく,玛丽亚狂热
Maria Holic Alive,まりあ†ほりっく あらいぶ,玛莉亚狂热 ALIVE
Student Council Staff Members,生徒会役員共,妄想学生会
C: The Money of Soul and Possibility Control,,C：金钱掌控
Blue Literature Series,青い文学シリーズ,青之文学
Monogatari series,〈物語〉シリーズ,化物语
Okami-san and Her Seven Companions,オオカミさん,大神与七位伙伴
Yu-Gi-Oh! Duel Monsters,遊☆戯☆王デュエルモンスターズ,游戏王：决斗怪兽
Yu-Gi-Oh! 5D's,遊☆戯☆王5D's,游戏王5D's
Digimon Frontier,デジモンフロンティア,数码宝贝：无线地带
Digimon Tamers,デジモンテイマーズ,数码宝贝：驯兽师
One Piece,,
BLEACH,,死神
Naruto,,火影忍者
Naruto Shippuuden,,火影忍者：疾风传
Trinity Blood,リニティ・ブラッド,圣魔之血
Fullmetal Alchemist,鋼の錬金術師,钢之炼金术士
